time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,avg_ew_green
79,fixed_calibrated,7049,3823,3226,704.9,25935,9499920.0,938,93.8,3900,2502780.0,1,1,29.084070973498303,20.915929026501697
80,fixed_calibrated,7100,3842,3258,710.0,26254,9925920.0,931,93.1,3975,2558640.0,1,5,29.084070973498303,20.915929026501697
81,fixed_calibrated,7030,3788,3242,703.0,26651,10347720.0,936,93.6,4035,2614800.0,1,4,29.084070973498303,20.915929026501697
82,fixed_calibrated,6910,3707,3203,691.0,27072,10762320.0,975,97.5,4050,2673300.0,1,1,29.084070973498303,20.915929026501697
83,fixed_calibrated,6856,3663,3193,685.6,27457,11173680.0,974,97.4,4125,2731740.0,1,5,29.084070973498303,20.915929026501697
84,fixed_calibrated,6748,3607,3141,674.8,27854,11578560.0,978,97.8,4185,2790420.0,1,4,29.084070973498303,20.915929026501697
85,fixed_calibrated,6623,3520,3103,662.3,28275,11975940.0,1010,101.0,4200,2851020.0,1,1,29.084070973498303,20.915929026501697
86,fixed_calibrated,6537,3460,3077,653.7,28660,12368160.0,990,99.0,4275,2910420.0,1,5,29.084070973498303,20.915929026501697
87,fixed_calibrated,6451,3418,3033,645.1,29057,12755220.0,984,98.4,4335,2969460.0,1,4,29.084070973498303,20.915929026501697
88,fixed_calibrated,6320,3326,2994,632.0,29478,13134420.0,1040,104.0,4350,3031860.0,1,1,29.084070973498303,20.915929026501697
89,fixed_calibrated,6240,3255,2985,624.0,29863,13508820.0,1031,103.1,4425,3093720.0,1,5,29.084070973498303,20.915929026501697
90,fixed_calibrated,6148,3205,2943,614.8,30260,13877700.0,1043,104.3,4485,3156300.0,1,4,29.084070973498303,20.915929026501697
91,fixed_calibrated,6029,3139,2890,602.9,30691,14239440.0,1078,107.8,4500,3220980.0,1,1,29.084070973498303,20.915929026501697
92,fixed_calibrated,5945,3081,2864,594.5,31086,14596140.0,1060,106.0,4575,3284580.0,1,5,29.084070973498303,20.915929026501697
93,fixed_calibrated,5833,3014,2819,583.3,31490,14946120.0,1070,107.0,4635,3348780.0,1,4,29.084070973498303,20.915929026501697
94,fixed_calibrated,5691,2923,2768,569.1,31921,15287580.0,1117,111.7,4650,3415800.0,1,1,29.084070973498303,20.915929026501697
95,fixed_calibrated,5585,2852,2733,558.5,32316,15622680.0,1091,109.1,4725,3481260.0,1,5,29.084070973498303,20.915929026501697
96,fixed_calibrated,5481,2787,2694,548.1,32720,15951540.0,1098,109.8,4785,3547140.0,1,4,29.084070973498303,20.915929026501697
97,fixed_calibrated,5357,2708,2649,535.7,33151,16272960.0,1147,114.7,4800,3615960.0,1,1,29.084070973498303,20.915929026501697
98,fixed_calibrated,5277,2654,2623,527.7,33546,16589580.0,1137,113.7,4875,3684180.0,1,5,29.084070973498303,20.915929026501697
99,fixed_calibrated,5171,2590,2581,517.1,33950,16899840.0,1145,114.5,4935,3752880.0,1,4,29.084070973498303,20.915929026501697
100,fixed_calibrated,5036,2507,2529,503.6,34381,17202000.0,1194,119.4,4950,3824520.0,1,1,29.084070973498303,20.915929026501697
101,fixed_calibrated,4947,2442,2505,494.7,34776,17498820.0,1178,117.8,5025,3895200.0,1,5,29.084070973498303,20.915929026501697
102,fixed_calibrated,4834,2375,2459,483.4,35180,17788860.0,1173,117.3,5085,3965580.0,1,4,29.084070973498303,20.915929026501697
103,fixed_calibrated,4730,2325,2405,473.0,35611,18072660.0,1216,121.6,5100,4038540.0,1,1,29.084070973498303,20.915929026501697
104,fixed_calibrated,4659,2280,2379,465.9,36006,18352200.0,1206,120.6,5175,4110900.0,1,5,29.084070973498303,20.915929026501697
105,fixed_calibrated,4583,2235,2348,458.3,36410,18627180.0,1214,121.4,5235,4183740.0,1,4,29.084070973498303,20.915929026501697
106,fixed_calibrated,4473,2171,2302,447.3,36841,18895560.0,1269,126.9,5250,4259880.0,1,1,29.084070973498303,20.915929026501697
107,fixed_calibrated,4413,2125,2288,441.3,37236,19160340.0,1270,127.0,5325,4336080.0,1,5,29.084070973498303,20.915929026501697
108,fixed_calibrated,4360,2085,2275,436.0,37640,19421940.0,1262,126.2,5385,4411800.0,1,4,29.084070973498303,20.915929026501697
109,fixed_calibrated,4274,2026,2248,427.4,38071,19678380.0,1308,130.8,5400,4490280.0,1,1,29.084070973498303,20.915929026501697
110,fixed_calibrated,4196,1975,2221,419.6,38466,19930140.0,1298,129.8,5475,4568160.0,1,5,29.084070973498303,20.915929026501697
111,fixed_calibrated,4140,1936,2204,414.0,38870,20178540.0,1293,129.3,5535,4645740.0,1,4,29.084070973498303,20.915929026501697
112,fixed_calibrated,4030,1872,2158,403.0,39301,20420340.0,1323,132.3,5550,4725120.0,1,1,29.084070973498303,20.915929026501697
113,fixed_calibrated,3952,1816,2136,395.2,39695,20657460.0,1306,130.6,5625,4803480.0,1,5,29.084070973498303,20.915929026501697
114,fixed_calibrated,3894,1781,2113,389.4,40092,20891100.0,1304,130.4,5685,4881720.0,1,4,29.084070973498303,20.915929026501697
115,fixed_calibrated,3780,1712,2068,378.0,40512,21117900.0,1343,134.3,5700,4962300.0,1,1,29.084070973498303,20.915929026501697
116,fixed_calibrated,3721,1701,2020,372.1,40892,21341160.0,1325,132.5,5775,5041800.0,1,5,29.084070973498303,20.915929026501697
117,fixed_calibrated,3658,1675,1983,365.8,41292,21560640.0,1328,132.8,5835,5121480.0,1,4,29.084070973498303,20.915929026501697
118,fixed_calibrated,3583,1635,1948,358.3,41705,21775620.0,1367,136.7,5850,5203500.0,1,1,29.084070973498303,20.915929026501697
119,fixed_calibrated,3535,1617,1918,353.5,42088,21987720.0,1351,135.1,5925,5284560.0,1,5,29.084070973498303,20.915929026501697
