time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
81,scipy_mpc,6207,2927,3280,620.7,27474,8957340.0,213,21.3,4758,849360.0,0,0,27.108473280907354,1,22.891526719092642,0,0,-1,0.0,0,180.0,180
82,scipy_mpc,6080,2864,3216,608.0,27902,9322140.0,267,26.7,4758,865380.0,0,0,26.37864392333002,1,23.621356076669983,0,0,-1,0.0,0,240.0,180
83,scipy_mpc,5985,2814,3171,598.5,28328,9681240.0,341,34.1,4758,885840.0,0,0,27.192621023633034,1,22.807378976366966,0,0,-1,0.0,0,300.0,180
84,scipy_mpc,5933,2793,3140,593.3,28669,10037220.0,38,3.8,5125,888120.0,1,10,28.059790227564,1,21.940209772436,0,0,-1,0.0,0,0.0,180
85,scipy_mpc,5803,2724,3079,580.3,29095,10385400.0,85,8.5,5125,893220.0,0,0,26.361484150139688,1,23.638515849860315,0,0,-1,0.0,0,60.0,180
86,scipy_mpc,5675,2662,3013,567.5,29522,10725900.0,140,14.0,5125,901620.0,0,0,27.041620768883668,1,22.958379231116332,0,0,-1,0.0,0,120.0,180
87,scipy_mpc,5559,2607,2952,555.9,29949,11059440.0,194,19.4,5125,913260.0,0,0,28.410433606520463,1,21.589566393479537,0,0,-1,0.0,0,180.0,180
88,scipy_mpc,5424,2540,2884,542.4,30374,11384880.0,265,26.5,5125,929160.0,0,0,25.7205876047667,1,24.2794123952333,0,0,-1,0.0,0,240.0,180
89,scipy_mpc,5306,2479,2827,530.6,30797,11703240.0,331,33.1,5125,949020.0,0,0,25.61895742391976,1,24.38104257608024,0,0,-1,0.0,0,300.0,180
90,scipy_mpc,5275,2463,2812,527.5,31133,12019740.0,25,2.5,5503,950520.0,1,10,28.178330978410024,1,21.821669021589976,0,0,-1,0.0,0,0.0,180
91,scipy_mpc,5147,2417,2730,514.7,31573,12328560.0,75,7.5,5503,955020.0,0,0,26.232850450864806,1,23.767149549135194,0,0,-1,0.0,0,60.0,180
92,scipy_mpc,5018,2369,2649,501.8,32013,12629640.0,132,13.2,5503,962940.0,0,0,25.303493306316035,1,24.696506693683965,0,0,-1,0.0,0,120.0,180
93,scipy_mpc,4870,2317,2553,487.0,32453,12921840.0,202,20.2,5503,975060.0,0,0,25.181794788171565,1,24.818205211828435,0,0,-1,0.0,0,180.0,180
94,scipy_mpc,4719,2264,2455,471.9,32893,13204980.0,264,26.4,5503,990900.0,0,0,24.31290444872502,1,25.68709555127498,0,0,-1,0.0,0,240.0,180
95,scipy_mpc,4568,2207,2361,456.8,33333,13479060.0,313,31.3,5503,1009680.0,0,0,25.023841700624843,1,24.976158299375157,0,0,-1,0.0,0,300.0,180
96,scipy_mpc,4518,2200,2318,451.8,33683,13750140.0,22,2.2,5861,1011000.0,1,10,25.407424937956776,1,24.592575062043224,0,0,-1,0.0,0,0.0,180
97,scipy_mpc,4385,2152,2233,438.5,34123,14013240.0,86,8.6,5861,1016160.0,0,0,25.05603649128126,1,24.94396350871874,0,0,-1,0.0,0,60.0,180
98,scipy_mpc,4260,2108,2152,426.0,34563,14268840.0,151,15.1,5861,1025220.0,0,0,25.517877386003804,1,24.482122613996196,0,0,-1,0.0,0,120.0,180
99,scipy_mpc,4118,2036,2082,411.8,35003,14515920.0,219,21.9,5861,1038360.0,0,0,27.933059105074683,1,22.066940894925317,0,0,-1,0.0,0,180.0,180
100,scipy_mpc,3974,1964,2010,397.4,35443,14754360.0,283,28.3,5861,1055340.0,0,0,27.042958059077478,1,22.957041940922526,0,0,-1,0.0,0,240.0,180
101,scipy_mpc,3840,1897,1943,384.0,35883,14984760.0,342,34.2,5861,1075860.0,0,0,26.85844023287235,1,23.141559767127653,0,0,-1,0.0,0,300.0,180
102,scipy_mpc,3781,1864,1917,378.1,36233,15211620.0,27,2.7,6231,1077480.0,1,10,28.145797111552675,1,21.854202888447325,0,0,-1,0.0,0,0.0,180
103,scipy_mpc,3668,1812,1856,366.8,36673,15431700.0,85,8.5,6231,1082580.0,0,0,28.953544918983265,1,21.046455081016738,0,0,-1,0.0,0,60.0,180
104,scipy_mpc,3552,1750,1802,355.2,37113,15644820.0,150,15.0,6231,1091580.0,0,0,28.358314196814085,1,21.641685803185915,0,0,-1,0.0,0,120.0,180
105,scipy_mpc,3440,1694,1746,344.0,37553,15851220.0,218,21.8,6231,1104660.0,0,0,28.26308534406045,1,21.73691465593955,0,0,-1,0.0,0,180.0,180
106,scipy_mpc,3321,1635,1686,332.1,37993,16050480.0,288,28.8,6231,1121940.0,0,0,27.84411724499555,1,22.15588275500445,0,0,-1,0.0,0,240.0,180
107,scipy_mpc,3216,1582,1634,321.6,38433,16243440.0,364,36.4,6231,1143780.0,0,0,27.21686382557118,1,22.783136174428822,0,0,-1,0.0,0,300.0,180
108,scipy_mpc,3216,1585,1631,321.6,38784,16436400.0,40,4.0,6607,1146180.0,1,10,27.435853551184056,1,22.564146448815947,0,0,-1,0.0,0,0.0,180
109,scipy_mpc,3131,1541,1590,313.1,39214,16624260.0,101,10.1,6607,1152240.0,0,0,27.768263112410743,1,22.231736887589257,0,0,-1,0.0,0,60.0,180
110,scipy_mpc,3038,1499,1539,303.8,39624,16806540.0,166,16.6,6607,1162200.0,0,0,27.71297590020176,1,22.28702409979824,0,0,-1,0.0,0,120.0,180
111,scipy_mpc,2977,1467,1510,297.7,40033,16985160.0,221,22.1,6607,1175460.0,0,0,28.822027425850838,1,21.177972574149166,0,0,-1,0.0,0,180.0,180
112,scipy_mpc,2899,1427,1472,289.9,40432,17159100.0,266,26.6,6607,1191420.0,0,0,28.729538869056135,1,21.270461130943865,0,0,-1,0.0,0,240.0,180
113,scipy_mpc,2830,1395,1435,283.0,40817,17328900.0,324,32.4,6607,1210860.0,0,0,27.824815748108772,1,22.175184251891228,0,0,-1,0.0,0,300.0,180
114,scipy_mpc,2834,1396,1438,283.4,41152,17498940.0,19,1.9,6970,1212000.0,1,10,28.70032343335497,1,21.29967656664503,0,0,-1,0.0,0,0.0,180
115,scipy_mpc,2735,1348,1387,273.5,41557,17663040.0,73,7.3,6970,1216380.0,0,0,27.902672890754598,1,22.097327109245402,0,0,-1,0.0,0,60.0,180
116,scipy_mpc,2665,1311,1354,266.5,41948,17822940.0,130,13.0,6970,1224180.0,0,0,31.36895778734268,1,18.63104221265732,0,0,-1,0.0,0,120.0,180
117,scipy_mpc,2595,1278,1317,259.5,42355,17978640.0,193,19.3,6970,1235760.0,0,0,30.17693872512994,1,19.82306127487006,0,0,-1,0.0,0,180.0,180
118,scipy_mpc,2535,1246,1289,253.5,42753,18130740.0,247,24.7,6970,1250580.0,0,0,29.00882263574123,1,20.991177364258768,0,0,-1,0.0,0,240.0,180
119,scipy_mpc,2469,1211,1258,246.9,43154,18278880.0,306,30.6,6970,1268940.0,0,0,30.499064588050953,1,19.500935411949047,0,0,-1,0.0,0,300.0,180
